区域,单价,建成年份,总价,楼层,满二年,满五年,装修,近地铁,面积,关注人数
东直门,104392,1988,630,顶层(共6层),FALSE,TRUE,简装,TRUE,60.35,11
和平里,117204,2000,1150,中楼层(共12层),FALSE,TRUE,简装,FALSE,98.12,56
崇文门,79121,1990,504,中楼层(共6层),TRUE,FALSE,精装,TRUE,63.7,76
安定门,108228,1999,880,中楼层(共10层),FALSE,TRUE,简装,FALSE,81.31,15
永定门,73771,2005,450,低楼层(共10层),FALSE,TRUE,精装,FALSE,61,42
东直门,110211,2002,925,高楼层(共9层),FALSE,TRUE,精装,FALSE,83.93,32
广渠门,93608,2004,760,高楼层(共6层),FALSE,TRUE,精装,FALSE,81.19,40
广渠门,110991,1970,408,中楼层(共6层),TRUE,FALSE,简装,FALSE,36.76,19
东花市,82397,2003,630,中楼层(共18层),FALSE,TRUE,简装,TRUE,76.46,51
东花市,112260,2006,1520,中楼层(共6层),FALSE,TRUE,精装,FALSE,135.4,28
崇文门,106777,2004,416,中楼层(共7层),TRUE,FALSE,精装,TRUE,38.96,7
崇文门,92973,1988,680,中楼层(共6层),FALSE,TRUE,精装,FALSE,73.14,21
东直门,102670,2003,650,中楼层(共14层),FALSE,TRUE,精装,FALSE,63.31,19
东直门,101339,1986,545,顶层(共5层),FALSE,TRUE,简装,FALSE,53.78,11
东直门,101229,1990,610,中楼层(共5层),FALSE,TRUE,简装,TRUE,60.26,88
和平里,107815,1986,625,中楼层(共5层),TRUE,FALSE,简装,FALSE,57.97,46
安定门,108320,1990,608,中楼层(共6层),FALSE,TRUE,简装,TRUE,56.13,30
广渠门,94195,1999,675,低楼层(共16层),FALSE,TRUE,简装,FALSE,71.66,29
东直门,100428,2002,775,高楼层(共15层),FALSE,TRUE,精装,FALSE,77.17,46
广渠门,74728,2005,500,高楼层(共21层),FALSE,TRUE,简装,FALSE,66.91,42
安贞,107837,1994,505,高楼层(共16层),FALSE,TRUE,简装,FALSE,46.83,14
广渠门,110754,2005,1100,中楼层(共18层),FALSE,TRUE,精装,TRUE,99.32,41
东花市,96090,2005,1140,顶层(共6层),FALSE,TRUE,精装,FALSE,118.64,97
安定门,101880,1988,710,低楼层(共6层),FALSE,TRUE,简装,FALSE,69.69,63
